algo,n,rep,hauteur,largeur,prof_feuilles,taille_gauche,time_ms
ABR,1000,36,23,202,13.5315,380,0.0560
Remy,1000,37,61,80,30.5654,0,0.1168
ABR,1000,37,26,272,12.7103,698,0.0560
Remy,1000,38,51,84,24.8791,0,0.1309
ABR,1000,38,20,300,12.0300,731,0.0548
Remy,1000,39,57,82,33.3007,9,0.1159
ABR,1000,39,22,256,12.2817,632,0.0541
Remy,1000,40,43,126,21.4565,997,0.1290
ABR,1000,40,19,248,12.4006,125,0.0548
Remy,1000,41,48,116,22.8462,999,0.1171
ABR,1000,41,23,194,13.9001,119,0.0541
Remy,1000,42,67,66,32.1648,2,0.2041
ABR,1000,42,22,222,13.2328,740,0.0679
Remy,1000,43,49,104,24.9301,993,0.1740
ABR,1000,43,21,234,12.4655,415,0.0551
Remy,1000,44,43,130,21.9660,0,0.1321
ABR,1000,44,22,244,13.0849,288,0.0539
Remy,1000,45,53,110,23.1628,1,0.1161
ABR,1000,45,21,262,12.9201,722,0.0658
Remy,1000,46,51,78,27.1708,0,0.1352
ABR,1000,46,21,270,12.5754,579,0.0551
Remy,1000,47,52,86,28.3846,20,0.1161
ABR,1000,47,24,192,16.0470,875,0.0541
Remy,1000,48,49,86,27.4096,4,0.1290
ABR,1000,48,21,244,12.3556,487,0.0541
Remy,1000,49,62,96,28.3996,998,0.1171
ABR,1000,49,21,270,12.8162,76,0.0541
Remy,1000,50,54,80,32.7812,990,0.2592
ABR,1000,50,22,242,13.0480,101,0.0570
Remy,2000,1,62,150,30.1354,1897,0.2239
ABR,2000,1,24,446,14.1064,1578,0.0870
Remy,2000,2,56,178,33.6442,1998,0.2279
ABR,2000,2,24,436,14.3158,841,0.0861
Remy,2000,3,78,168,38.7486,0,0.2189
ABR,2000,3,22,510,13.3713,819,0.0861
Remy,2000,4,73,114,35.2369,1999,0.2489
ABR,2000,4,23,506,13.4403,923,0.0889
Remy,2000,5,71,108,35.8831,1999,0.2861
ABR,2000,5,23,428,14.5957,1727,0.1230
Remy,2000,6,63,140,32.8001,6,0.3040
ABR,2000,6,25,482,13.6197,516,0.1121
Remy,2000,7,61,168,32.4368,0,0.2840
ABR,2000,7,24,456,13.9595,604,0.1369
Remy,2000,8,50,188,26.1104,107,0.4981
ABR,2000,8,25,484,14.2104,1400,0.0882
Remy,2000,9,55,140,30.4288,1999,0.2439
ABR,2000,9,24,366,14.6172,1497,0.0889
Remy,2000,10,70,130,41.2979,0,0.2899
ABR,2000,10,24,404,15.2159,1491,0.1070
Remy,2000,11,58,160,28.9520,1,0.2460
ABR,2000,11,26,390,14.8941,1713,0.1118
Remy,2000,12,68,134,33.6832,1986,0.4139
ABR,2000,12,25,446,14.3608,1768,0.1099
Remy,2000,13,76,114,38.0875,3,0.4919
ABR,2000,13,25,390,14.8051,686,0.1681
Remy,2000,14,58,152,33.7211,0,0.3750
ABR,2000,14,25,432,14.6527,1205,0.1271
Remy,2000,15,60,140,34.7201,1999,0.2892
ABR,2000,15,24,464,14.3968,958,0.1109
Remy,2000,16,78,164,35.8081,1999,1.2820
ABR,2000,16,23,462,14.0495,529,0.1190
Remy,2000,17,68,158,37.5152,1999,0.3881
ABR,2000,17,24,526,14.8616,44,0.1218
Remy,2000,18,77,88,38.9365,1973,0.5710
ABR,2000,18,27,380,15.0890,289,0.1960
Remy,2000,19,56,184,31.1799,1999,0.2961
ABR,2000,19,23,466,14.0400,278,0.1228
Remy,2000,20,74,132,36.6697,0,0.3350
ABR,2000,20,24,434,15.0770,47,0.1099
Remy,2000,21,55,174,30.6417,1940,0.2930
ABR,2000,21,25,422,13.9840,585,0.1121
Remy,2000,22,63,124,32.1589,0,0.3178
ABR,2000,22,25,470,14.4023,1602,0.1202
Remy,2000,23,66,136,36.1379,1999,0.2820
ABR,2000,23,24,476,14.1434,1802,0.1180
Remy,2000,24,60,168,28.0505,1999,0.5770
ABR,2000,24,26,510,14.1079,295,0.0920
Remy,2000,25,81,116,41.7606,1999,0.2670
ABR,2000,25,28,350,14.9220,1360,0.0870
Remy,2000,26,71,152,34.0970,1999,0.3071
ABR,2000,26,28,420,14.3488,1259,0.1130
Remy,2000,27,77,110,34.2459,1998,0.2449
ABR,2000,27,24,438,14.3468,617,0.1130
Remy,2000,28,60,190,28.2239,1999,0.2940
ABR,2000,28,26,410,14.4898,965,0.1080
Remy,2000,29,61,190,29.3703,1998,0.2780
ABR,2000,29,22,500,13.8336,505,0.1070
Remy,2000,30,75,152,36.9885,0,0.3140
ABR,2000,30,24,390,14.9760,1793,0.1142
Remy,2000,31,65,150,33.9175,1997,0.2730
ABR,2000,31,26,396,14.3318,1581,0.1090
Remy,2000,32,73,106,37.3063,9,0.4871
ABR,2000,32,26,466,14.1279,1547,0.0889
Remy,2000,33,67,136,31.3198,37,0.2391
ABR,2000,33,24,478,14.2584,537,0.0889
Remy,2000,34,61,148,34.0570,0,0.2918
